celltype,state,med_AD,med_CTL,mean_AD,mean_CTL,p_wilcox,direction
Astro,Homeostatic,0.251977240398293,0.914545454545454,0.373822018617358,0.920239278561077,0.111111111111111,down in AD
Astro,Reactive,0.348394180939323,0.0793939393939394,0.371573275928039,0.075682698553644,0.285714285714286,up in AD
Astro,MT_stress,0.10364394953436,0.00401606425702811,0.254604705454604,0.0040780228852791,0.0317460317460317,up in AD
Micro,Homeostatic,0.918520046506395,0.945337620578778,0.798983949633565,0.942315715268517,0.904761904761905,down in AD
Micro,Inflammatory,0.0117172361199665,0.0131147540983607,0.151564139532376,0.0127690779725803,0.708624058443922,up in AD
Micro,PVM/lipid-DAM,0.0393800121443079,0.039344262295082,0.0494519108340587,0.0449152067589029,1,up in AD
